id,title,condition,thumbnail_id,catalog_product_id,listing_type_id,permalink,buying_mode,price,currency_id,condicion_item,unico_dueno,control_traccion,aire_acondicionado,cilindros,cilindrada,capacidad_personas,marca,puertas,motor,tipo_combustible,kilometros,modelo
MLA1311939894,Toyota Etios 1.5 X 4 Puertas Sedan 0km 2023,new,793255-MLA53313404855_012023,MLA21092468,gold_premium,https://auto.mercadolibre.com.ar/MLA-1311939894-toyota-etios-15-x-4-puertas-sedan-0km-2023-_JM,classified,4838000,ARS,Nuevo,Delantera,1496 cc,4265 mm,5,103 hp,Toyota,4,1.5,Nafta,0 km,Etios,Manual
MLA1437805724,"Toyota Etios Xls , 5 P. Listo Para Transferir",used,761817-MLA69698738251_052023,MLA12194596,gold_premium,https://auto.mercadolibre.com.ar/MLA-1437805724-toyota-etios-xls-5-p-listo-para-transferir-_JM,classified,3750000,ARS,Usado,No,Delantera,Sí,1.5 L,3893 mm,5,90 hp,Toyota,5,1.5,Nafta,100200 km
MLA1417733044,Toyota Etios,new,966917-MLA69437579011_052023,MLA21093697,gold_premium,https://auto.mercadolibre.com.ar/MLA-1417733044-toyota-etios-_JM,classified,6990000,ARS,Nuevo,Delantera,1496 cc,4265 mm,5,103 hp,Toyota,4,1.5,Nafta,0 km,Etios,Manual
MLA1435990630,Toyota Etios Xls Pack At Año 2022,used,747507-MLA70079879039_062023,MLA19324362,gold_premium,https://auto.mercadolibre.com.ar/MLA-1435990630-toyota-etios-xls-pack-at-ano-2022-_JM,classified,6490000,ARS,Usado,Delantera,1496 cc,4265 mm,5,103 hp,Toyota,4,1.5,Nafta,42000 km,Etios,Automática
MLA1434488326,Toyota Etios Sedan X ,new,758435-MLA70014335991_062023,MLA21092468,gold_premium,https://auto.mercadolibre.com.ar/MLA-1434488326-toyota-etios-sedan-x-_JM,classified,4838000,ARS,Nuevo,Delantera,Sí,1.5 L,4265 mm,5,103 hp,Toyota,4,1.5,Nafta,0 km,Etios
MLA1420915368,Toyota Corolla 2016 Etios Camry Vento Voyage Bora 408 Tomas,used,682108-MLA69509118110_052023,MLA8703815,gold_premium,https://auto.mercadolibre.com.ar/MLA-1420915368-toyota-corolla-2016-etios-camry-vento-voyage-bora-408-tomas-_JM,classified,6989900,ARS,Usado,Delantera,1.8 L,4620 mm,5,140 hp,Toyota,4,1.8,Nafta,72000 km,Corolla,Automática
MLA1372607181,Toyota Etios 2023 1.5 Xls At 0km Lesbleus,used,642438-MLA54818484742_042023,MLA21093091,gold_premium,https://auto.mercadolibre.com.ar/MLA-1372607181-toyota-etios-2023-15-xls-at-0km-lesbleus-_JM,classified,8400000,ARS,Usado,Delantera,1496 cc,4265 mm,5,103 hp,Toyota,5,1.5,Nafta,1000 km,Etios,Automática
MLA1373847483,Toyota Etios Xls 1.5 At Sedan 4p 2017,used,834123-MLA54406008934_032023,MLA15519751,gold_premium,https://auto.mercadolibre.com.ar/MLA-1373847483-toyota-etios-xls-15-at-sedan-4p-2017-_JM,classified,9500,USD,Usado,Sí,Delantera,Sí,1496 cc,4265 mm,5,103 hp,Toyota,4,1.5,Nafta,118000 km
MLA1438397294,Toyota Etios 1.5 Xls 6mt 4p 2017,used,806579-MLA70132722584_062023,MLA8702633,gold_premium,https://auto.mercadolibre.com.ar/MLA-1438397294-toyota-etios-15-xls-6mt-4p-2017-_JM,classified,4500000,ARS,Usado,Delantera,1.5 L,4265 mm,5,103 hp,Toyota,4,1.5,Nafta,35500 km,Etios,Manual
MLA1433784106,Toyota Etios 2017 1.5 Sedan Xls Lesbleus ,used,942385-MLA69996370907_062023,MLA8702633,gold_premium,https://auto.mercadolibre.com.ar/MLA-1433784106-toyota-etios-2017-15-sedan-xls-lesbleus-_JM,classified,4150000,ARS,Usado,Delantera,1.5 L,4265 mm,5,103 hp,Toyota,4,1.5,Nafta,93000 km,Etios,Manual
MLA1373652199,Toyota Corolla 2018 1.8 Se-g Cvt No Xli Mt Etios Xls 1.5 Xrs,used,884565-MLA69912155800_062023,MLA8806129,gold_premium,https://auto.mercadolibre.com.ar/MLA-1373652199-toyota-corolla-2018-18-se-g-cvt-no-xli-mt-etios-xls-15-xrs-_JM,classified,8489900,ARS,Usado,No,Delantera,Sí,1.8 L,4620 mm,5,140 hp,Toyota,4,1.8,Nafta,105000 km
